PlanId,PlanName,DesignId,Run,Tags,Output
Pet_Add,Test_Add_New_Pet,D1;D2;D3,Y,Pet,pet_added
Pet_Update,Test_Update_Pet,D1;D2;D3,Y,Pet,pet_updated
Pet_FindByStatus,Test_Find_Pets_By_Status,D1;D2;D3,Y,Pet,pets_found
Pet_FindById,Test_Find_Pet_By_ID,D1;D2;D3,Y,Pet,pet_found
Pet_UpdateForm,Test_Update_Pet_With_Form,D1;D2;D3,Y,Pet,pet_form_updated
Pet_Delete,Test_Delete_Pet,D1;D2;D3,Y,Pet,pet_deleted
Pet_UploadImage,Test_Upload_Pet_Image,D1;D2;D3,Y,Pet,image_uploaded
Store_PlaceOrder,Test_Place_Store_Order,D1;D2;D3,Y,Store,order_placed
Store_GetOrder,Test_Get_Store_Order,D1;D2;D3,Y,Store,order_retrieved
Store_DeleteOrder,Test_Delete_Store_Order,D1;D2;D3,Y,Store,order_deleted
Store_GetInventory,Test_Get_Store_Inventory,D1;D2;D3,Y,Store,inventory_retrieved
User_Create,Test_Create_User,D1;D2;D3,Y,User,user_created
User_CreateWithArray,Test_Create_Users_With_Array,D1;D2;D3,Y,User,users_created
User_CreateWithList,Test_Create_Users_With_List,D1;D2;D3,Y,User,users_created
User_Login,Test_User_Login,D1;D2;D3,Y,User,login_successful
User_Logout,Test_User_Logout,D1;D2;D3,Y,User,logout_successful
User_GetByUsername,Test_Get_User_By_Username,D1;D2;D3,Y,User,user_retrieved
User_Update,Test_Update_User,D1;D2;D3,Y,User,user_updated
User_Delete,Test_Delete_User,D1;D2;D3,Y,User,user_deleted
Pet_Status_Available,Test_Find_Available_Pets,D1;D2;D3,Y,Pet,available_pets_found
Pet_Status_Pending,Test_Find_Pending_Pets,D1;D2;D3,Y,Pet,pending_pets_found
Pet_Status_Sold,Test_Find_Sold_Pets,D1;D2;D3,Y,Pet,sold_pets_found
Store_Order_Status_Placed,Test_Order_Status_Placed,D1;D2;D3,Y,Store,placed_orders_found
Store_Order_Status_Approved,Test_Order_Status_Approved,D1;D2;D3,Y,Store,approved_orders_found
Store_Order_Status_Delivered,Test_Order_Status_Delivered,D1;D2;D3,Y,Store,delivered_orders_found
User_Validation,Test_User_Data_Validation,D1;D2;D3,Y,User,validation_successful
Pet_Validation,Test_Pet_Data_Validation,D1;D2;D3,Y,Pet,validation_successful
Store_Validation,Test_Store_Data_Validation,D1;D2;D3,Y,Store,validation_successful







