DesignId,PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical,Result,Time,TimeTaken
D1,PMath_Addition,1,Verify_Math_Addition,xMath,xAdd,12.0;23.0,35.0,34.0,n,Fail,15:04:18,0.0002944469451904297
D2,PMath_Addition,1,Verify_Math_Addition,xMath,xAdd,200.0;300.0,500.0,500.0,n,Pass,15:04:18,0.0003619194030761719
D1,PMath_Multiplication,1,Verify_Math_Multiplication,xMath,xMultiply,12.0;23.0,276.0,276,n,Pass,15:04:18,0.0003542900085449219
D1,PMath_Power,1,Verify_Math_Multiplication,xMath,xMultiply,12.0;23.0,276.0,276,n,Pass,15:04:18,0.0002570152282714844
D1,PMath_Division,1,Verify_Math_Division,xMath,xDiv,12.0;23.0,0.5217391304347826,0.521739,n,Pass,15:04:18,0.000270843505859375
D1,PMath_Area,1,Square radius,xMath,xMultiply,12.0;12.0,144.0,nan,n,Pass,15:04:18,0.0005638599395751953
D1,PMath_Area,2,Multiple res with pi,xMath,xMultiply,0.0;3.14,0.0,452.16,n,Fail,15:04:18,0.00035762786865234375
D2,PMath_Area,1,Square radius,xMath,xMultiply,200.0;200.0,40000.0,nan,n,Pass,15:04:18,0.0002815723419189453
D2,PMath_Area,2,Multiple res with pi,xMath,xMultiply,0.0;3.14,0.0,12845.0,,Fail,15:04:18,0.00035762786865234375
D1,PMath_SquareArea,1,Multiply side with side,xMath,xMultiply,12.0;12.0,144.0,144.0,n,Pass,15:04:18,0.0002892017364501953
D2,PMath_SquareArea,1,Multiply side with side,xMath,xMultiply,200.0;200.0,40000.0,40000.0,n,Pass,15:04:18,0.0002486705780029297
D1,PMath_TriangleArea,1,Multiply base and height,xMath,xMultiply,10.0;5.0,50.0,nan,n,Pass,15:04:18,0.00022673606872558594
D1,PMath_TriangleArea,2,Divide by 2,xMath,xDiv,0.0;2.0,0.0,25.0,n,Fail,15:04:18,0.00025177001953125
D2,PMath_TriangleArea,1,Multiply base and height,xMath,xMultiply,5.0;10.0,50.0,nan,n,Pass,15:04:18,0.00032830238342285156
D2,PMath_TriangleArea,2,Divide by 2,xMath,xDiv,0.0;2.0,0.0,25.0,,Fail,15:04:18,0.00025177001953125
D1,PMath_Average,1,Add three numbers,xMath,xAdd,12.0;23.0;15.0,50.0,nan,n,Pass,15:04:18,0.00037598609924316406
D1,PMath_Average,2,Divide by 3,xMath,xDiv,40.0;3.0,13.333333333333334,13.33,n,Fail,15:04:18,0.0002543926239013672
D2,PMath_Average,1,Add three numbers,xMath,xAdd,200.0;300.0;30.0,530.0,nan,n,Pass,15:04:18,0.0002243518829345703
D2,PMath_Average,2,Divide by 3,xMath,xDiv,60.0;3.0,20.0,20.0,n,Pass,15:04:18,0.00026226043701171875
D3,PMath_Average,1,Add three numbers,xMath,xAdd,5.0;10.0;12.0,27.0,nan,n,Pass,15:04:18,0.00018334388732910156
D3,PMath_Average,2,Divide by 3,xMath,xDiv,nan;3.0,nan,nan,n,Pass,15:04:18,0.0008134841918945312
D1,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,1000.0;5.0;2.0,10000.0,nan,n,Pass,15:04:18,0.00033593177795410156
D1,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,0.0;100.0,0.0,100.0,n,Fail,15:04:18,0.00020194053649902344
D2,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,2000.0;10.0;3.0,60000.0,nan,n,Pass,15:04:18,0.000194549560546875
D2,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,0.0;100.0,0.0,600.0,,Fail,15:04:18,0.00020194053649902344
D3,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,1500.0;6.0;2.5,22500.0,nan,n,Pass,15:04:18,0.0002770423889160156
D3,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,0.0;100.0,0.0,225.0,,Fail,15:04:18,0.00020194053649902344
D1,PMath_CylinderVolume,1,Square radius,xMath,xMultiply,5.0;5.0,25.0,nan,n,Pass,15:04:18,0.00021600723266601562
D1,PMath_CylinderVolume,2,Multiply with pi,xMath,xMultiply,0.0;3.14,0.0,nan,n,Pass,15:04:18,0.0002598762512207031
D1,PMath_CylinderVolume,3,Multiply with height,xMath,xMultiply,0.0;5.0,0.0,785.0,n,Fail,15:04:18,0.00038313865661621094
D2,PMath_CylinderVolume,1,Square radius,xMath,xMultiply,10.0;10.0,100.0,nan,n,Pass,15:04:18,0.00020194053649902344
D2,PMath_CylinderVolume,2,Multiply with pi,xMath,xMultiply,0.0;3.14,0.0,nan,,Pass,15:04:18,0.0002598762512207031
D2,PMath_CylinderVolume,3,Multiply with height,xMath,xMultiply,0.0;10.0,0.0,6280.0,n,Fail,15:04:18,0.00024175643920898438
D1,PMath_Modulo,1,Get remainder from division,xMath,xModulo,10.0;3.0,1.0,vModulo,n,Fail,15:04:18,0.0003349781036376953
D1,PMath_Round,1,Round the number,xMath,xRound,3.14159;2.0,3.14,vRounded,n,Fail,15:04:19,0.0004134178161621094
D1,PMath_CompoundInterest,1,Calculate rate as decimal,xMath,xDiv,5.0;100.0,0.05,nan,n,Pass,15:04:19,0.00023365020751953125
D1,PMath_CompoundInterest,2,Add 1 to rate,xMath,xAdd,1.0;0.0,1.0,nan,n,Pass,15:04:19,0.0002696514129638672
D1,PMath_CompoundInterest,3,Calculate compound factor,xMath,xPower,0.0;2.0,0.0,nan,n,Pass,15:04:19,0.00018858909606933594
D1,PMath_CompoundInterest,4,Calculate final amount,xMath,xMultiply,1000.0;0.0,0.0,vCompoundInterest,n,Fail,15:04:19,0.0003046989440917969
